probe,ratio,error
-1,3.17162686213758E-008,3.20099063269424E-009
-0.95,3.18508378895665E-008,3.21468247527059E-009
-0.9,3.19220614413431E-008,3.22192954019423E-009
-0.85,3.08401463339787E-008,3.11284879618426E-009
-0.8,2.95608291757514E-008,0.000000003
-0.75,2.96818578518079E-008,0.000000003
-0.7,2.97875941668396E-008,0.000000003
-0.65,2.98524508941254E-008,0.000000003
-0.6,0.00000003,0.000000003
-0.55,3.0139365069964E-008,0.000000003
-0.5,3.03018356162646E-008,3.05917583988385E-009
-0.45,3.04313884446E-008,3.0723652894946E-009
-0.4,3.05433308121651E-008,3.08376261464923E-009
-0.35,3.06801395473128E-008,3.09769263697604E-009
-0.3,3.07775465104966E-008,3.10761136070704E-009
-0.25,3.08976667059613E-008,3.11984364713013E-009
-0.2,0.000000031,3.13397313123483E-009
-0.15,3.12092678467202E-008,3.15157889458184E-009
-0.1,3.13212880781641E-008,3.16298899806829E-009
-0.05,0.00000003,0.000000003
8.881784197E-016,3.01316749682526E-008,0.000000003
0.05,3.0273087506151E-008,3.05755217382032E-009
0.1,3.03941251887709E-008,3.06988489015737E-009
0.15,3.05557724802427E-008,3.08635671811405E-009
0.2,3.06862002852688E-008,3.09964840001391E-009
0.25,2.92008524038995E-008,2.94982082380796E-009
0.3,2.74515099222229E-008,2.77327806968408E-009
0.35,2.75662504649846E-008,2.78497503728E-009
0.4,2.76853863941019E-008,2.79712100649377E-009
0.45,2.78747068577838E-008,2.81642426110841E-009
0.5,0.000000028,2.83422287343576E-009
0.55,2.82298264031788E-008,2.85263892191855E-009
0.6,2.84311894530405E-008,2.87317739575112E-009
0.65,2.8637895039372E-008,2.89426358895883E-009
0.7,2.88011656128997E-008,2.9109209453886E-009
0.75,0.000000029,2.92948193279376E-009
0.8,2.91370355421457E-008,2.94519296353996E-009
0.85,2.93411331042688E-008,0.000000003
0.9,2.71533948386082E-008,2.74508172129751E-009
0.95,2.74065661643021E-008,2.77092770044852E-009
1,2.76259450726735E-008,2.79332758884625E-009
1.05,2.78165632929012E-008,2.81279365915716E-009
1.1,0.000000028,2.82912304045895E-009
1.15,2.82346448951335E-008,2.85549763184812E-009
1.2,2.84968800017391E-008,2.88228945953213E-009
1.25,2.8748020385905E-008,2.9079524185294E-009
1.3,0.000000029,2.93601985266173E-009
1.35,2.93365963552066E-008,0.000000003
1.4,2.95620034087915E-008,0.000000003
1.45,2.98624349346677E-008,0.000000003
1.5,3.01254327523731E-008,0.000000003
1.55,3.04219229176811E-008,3.07911746525629E-009
1.6,3.06124102822992E-008,3.0986085606329E-009
1.65,3.09406521460512E-008,3.13220113737611E-009
1.7,3.12918794159931E-008,3.16815465423653E-009
1.75,3.16657544024199E-008,3.20643627227483E-009
1.8,3.20892216236281E-008,3.24980786526738E-009
1.85,3.2536365266589E-008,3.2956184092807E-009
1.9,3.29114100422822E-008,3.33405340796163E-009
1.95,3.32371705201313E-008,3.36744590895312E-009
2,3.36024217281542E-008,3.40489553460442E-009
2.05,3.41030749870952E-008,3.45624367400081E-009
2.1,3.46490214679359E-008,3.51225772710706E-009
2.15,3.14253213716022E-008,3.18608678689756E-009
2.2,3.18285522187943E-008,3.22748810894758E-009
2.25,3.2320076744659E-008,3.27797257835257E-009
2.3,3.26552531815382E-008,3.31240967834853E-009
2.35,3.30847237069979E-008,3.35654805190054E-009
2.4,3.3477686308283E-008,3.39694734742663E-009
2.45,0.000000034,3.44745213135777E-009
2.5,3.4420210008501E-008,3.49389591092824E-009
2.55,3.48855630457646E-008,3.54178871273299E-009
2.6,3.53378797091626E-008,3.58835650717818E-009
2.65,0.000000036,3.65194876360439E-009
2.7,3.63565193134002E-008,3.69328960793368E-009
2.75,3.69031218352704E-008,3.74963107320392E-009
2.8,3.75921525005808E-008,3.82068755446193E-009
2.85,0.000000038,3.86320567073302E-009
2.9,3.86447179443368E-008,3.92930711101484E-009
2.95,3.9228668787297E-008,0.000000004
